Doctor Name,Qualifications,Specializations,Experience,Clinic Address,City,Consultation Fee,,
Dr. Shivang Patel,"MBBS, DDVL","Dermatologist, Cosmetologist",15 Years Experience Overall  (9 years as specialist),"201, 2nd floor, Platinum Plaza, Satya Marg Bodakdev, Landmark: Opposite IOC Petrol Pump, Ahmedabad",Ahmedabad,700,,
Dr. Shrikant Lagvankar,"MBBS, MS - General Surgery, MCh - Plastic Surgery, DNB - Plastic Surgery",Plastic Surgeon,31 Years Experience Overall,"Plot Number 1 A, Bhat GIDC Estate, Landmark: Near Narayani Hotel, Ahmedabad",Ahmedabad,1000,,
Dr. Kamlesh Wadhwani,"MS - General Surgery, MCh - Plastic Surgery, MBBS",Plastic Surgeon,19 Years Experience Overall  (8 years as specialist),"Plot Number 1 A, Bhat GIDC Estate, Landmark: Near Narayani Hotel, Ahmedabad",Ahmedabad,1000,,
Dr. Purva Bambhania,"MBBS, DDVL",Dermatologist,13 Years Experience Overall  (12 years as specialist),"Showroom Number- 104 and 105, Aaron Spectra Building, Rajpath Rangoli Road, Ahmedabad",Ahmedabad,1000,,
Dr. Arpita Engineer,"MD - Skin & VD, MBBS","Dermatologist, Dermatosurgeon, Cosmetologist",22 Years Experience Overall  (21 years as specialist),"F-19,Samarpan Tower Complex,K.K.Nagar Road, Landmark: Samarpan Tower Complex, Ahmedabad",Ahmedabad,700,,
Dr. Hiren N Patel,"MBBS, DDVL","Dermatologist, Cosmetologist, Pediatric Dermatologist",20 Years Experience Overall  (15 years as specialist),"117,TRADE SQUARE,ARVIND AVENUE, Landmark:  Khokhra Circle, Ahmedabad",Ahmedabad,400,,
Dr. Neha Joshi,"MBBS, MD - Dermatology",Dermatologist,20 Years Experience Overall  (18 years as specialist),"5th Floor, Medico House, visat - Gandhinagar Highway, Landmark: Near Visat Cross Roads Visat, Ahmedabad",Ahmedabad,500,,
Dr. Vatsal Kothari,"MBBS, MS - General Surgery, MCh - Plastic & Reconstructive Surgery",Plastic Surgeon,14 Years Experience Overall  (8 years as specialist),"Off Science City Road. Landmark: Opposite Shukan mall, Ahmedabad",Ahmedabad,2000,,
Dr. Rashmi Shanker,"MBBS, DDVL",Dermatologist,23 Years Experience Overall  (16 years as specialist),"1st Floor, Sarthik Annexe, Satellite Road, Landmark: Near Fun Re Public & Next to Gulmahor Park Mall, Ahmedabad",Ahmedabad,500,,
Dr. Sapna Nere,"MBBS, DNB - General Surgery, DNB - Plastic Surgery","Plastic Surgeon, General Surgeon",23 Years Experience Overall  (14 years as specialist),"tajane Mala,New Nagar Road, Sangamner, Ahmednagar",Ahmednagar,500,,
Dr. Poonam Pund Vidhate,"MD - Dermatology , Venereology & Leprosy, MBBS","Dermatologist, General Physician",16 Years Experience Overall  (10 years as specialist),"Savedi Naka, Bhide Chowk, Landmark: Behind Bhide Hospital, Ahmednagar",Ahmednagar,300,,
Dr. Sayali Tayade,"MBBS, MD - Skin & VD","Dermatologist, Cosmetologist, Venereologist, Dermatosurgeon",10 Years Experience Overall  (3 years as specialist),"Durga Chowk, Landmark: Opposite to MSEB Office, Akola",Akola,300,,
Dr. Ashish Khandare Patil,"DDVL, MBBS","Dermatologist, Venereologist, Cosmetologist",15 Years Experience Overall  (7 years as specialist),"1st Floor, Shakambari Complex, Durga Chowk,, Landmark: Opposite MSEB office, Akola",Akola,500,,
Dr. Mayur Agrawal,"MBBS, MS - General Surgery, MCh - Plastic & Reconstructive Surgery","Hair Transplant Surgeon, Cosmetologist, Burn Surgeon, Plastic Reconstruction Surgeon",14 Years Experience Overall  (3 years as specialist),Akola,Akola,500,,
Dr. Amruta M,MBBS,"General Physician, Dermatologist",7 Years Experience Overall,"Govind Hospital, Ram Nagar, Akola, Akola",Akola,300,,
Dr. Nisha Anil,"MBBS, MD - Dermatology",Dermatologist,21 Years Experience Overall  (13 years as specialist),"Aiswarya, St Augustines Rd, Landmark: Near St augustine's High School, Alappuzha",Alappuzha,100,,
Dr. Nitin Ranjan,"MBBS, MD - Dermatology",Dermatologist,23 Years Experience Overall  (15 years as specialist),"Kaveri Apartments, Ramghat Road, Landmark: Opposite Meenakshi Cinema, Aligarh",Aligarh,500,,
Dr. Rajeev Sharma,"MBBS, MD - Skin,VD & Leprosy","Dermatologist, Pediatric Dermatologist",34 Years Experience Overall  (32 years as specialist),"M-69, Janakpuri, Bank Colony Lane, Landmark: Near Smart India, Aligarh",Aligarh,400,,
Dr. D.K Patwa,"MD - Dermatology , Venereology & Leprosy, MBBS","Dermatologist, Venereologist, Hair Transplant Surgeon",10 Years Experience Overall  (2 years as specialist),"5L/5, Prayagraj, Landmark: Near Ojha Hospital, Allahabad",Allahabad,200,,
Dr. Rahul tandon,"MCh - Plastic Surgery, MBBS","Hair Transplant Surgeon, Burn Surgeon, Plastic Surgeon",22 Years Experience Overall  (19 years as specialist),"33\8 Strachey Road Allahabad, Landmark: Near Ansals, Allahabad",Allahabad,800,,
Dr. Amrita Madnani,"MBBS, DDVL",Dermatologist,15 Years Experience Overall  (10 years as specialist),"236-B, Lukerganj, Landmark: Near Prayagraj Station, Allahabad",Allahabad,500,,
Dr. Sanjay Tiwari,"MBBS, MS - General Surgery, MCh - Plastic Surgery","Plastic Surgeon, General Surgeon",16 Years Experience Overall  (14 years as specialist),"#23/5, C.Y. Chintamani Road, Corporation Bank Crossing, George Town, Landmark: Near Ashoka IIT-JEE., Allahabad",Allahabad,300,,
Dr. Dinesh Chandra Srivastava,"MBBS, MS - General Surgery, MCh - Plastic Surgery",Plastic Surgeon,40 Years Experience Overall  (33 years as specialist),"42/17 A, Church Lane., Landmark: Children Hospital, Allahabad",Allahabad,500,,
Dr. K S Jaiswal,MCh - Plastic Surgery,Plastic Surgeon,19 Years Experience Overall  (15 years as specialist),"C/O Divyaroshni Health Care and Research Center Pvt. Ltd. 70/58/34, Lal Bahadur Shastri Marg, Civil Lines, Allahabad",Allahabad,500,,
Dr. Nishant Nigam,MD - Skin & VD,Dermatologist,17 Years Experience Overall  (13 years as specialist),Allahabad,Allahabad,400,,
Dr. Arzoo Mishra,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,7 Years Experience Overall  (2 years as specialist),"Rawatpur, Landmark: Near Prayagraj Airport, Allahabad",Allahabad,300,,
Dr. Rohit Singla,"MD - (Dermatology & STD), MBBS","Dermatosurgeon, Dermatologist, Hair Transplant Surgeon",9 Years Experience Overall  (7 years as specialist),"House Number 22-P, Sector 9, Urban Estate, Ambala",Ambala,200,,
Dr. Varun Singla,"MCh - Plastic Surgery, MBBS, MS - General Surgery","Plastic Surgeon, Plastic Reconstruction Surgeon",10 Years Experience Overall  (4 years as specialist),"Srinagar - Kanyakumari Highway, Landmark: Near SBI Bank, Ambala",Ambala,200,,
Dr. Tajendra Singh,"MCh - Plastic Surgery, MS - General Surgery, MBBS",Plastic Surgeon,13 Years Experience Overall  (6 years as specialist),"Ambala Chandigarh Expressway, Ambala",Ambala,500,,
Dr. Jyotisterna Mittal,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,16 Years Experience Overall  (11 years as specialist),"Naushera House, Amritsar Urban Circle Number 109, Abadi Court Road, Landmark: Inside Hotel Fairfield By Marriott, Amritsar",Amritsar,500,,
Dr. Harkirandeep singh,"MBBS, MS - General Surgery, MCh - Plastic Surgery",Plastic Surgeon,8 Years Experience Overall  (4 years as specialist),"Majitha - Verka Bypass Road, Amritsar",Amritsar,500,,
Dr. Seema Mittal,"DNB - Plastic Surgery, DNB - General Surgery, MBBS","Plastic Surgeon, General Surgeon, Cosmetologist",26 Years Experience Overall  (16 years as specialist),"891, D-Block, Ajnala Road, Landmark: Opposite Ranjeet Avenue Ground & Behind Gurudwara Chevi Patshayi, Amritsar",Amritsar,500,,
Dr. Vikas Kakkar,"MBBS, MS - General Surgery, DNB - General Surgery, MCh - Plastic Surgery","Plastic Surgeon, Plastic Reconstruction Surgeon, Burn Surgeon, General Surgeon",24 Years Experience Overall  (18 years as specialist),"Ram Aasre, 564, B Block, Landmark: Opposite Sardar Beant Singh Park, Amritsar",Amritsar,500,,
Dr. Ravi Mahajan,"MBBS, MS - General Surgery, MCh - Plastic Surgery",Plastic Surgeon,38 Years Experience Overall  (33 years as specialist),"Adj. Amandeep Hospital G.T. Road, Model Town, Amritsar, Punjab (INDIA), Amritsar",Amritsar,500,,
Dr. Anurag Mahajan,"MBBS, MD - Dermatology",Dermatologist,23 Years Experience Overall  (18 years as specialist),"19, Race Course Road, Circular Road, Landmark: Near Blues Bakers, Amritsar",Amritsar,400,,
Dr. Mankesh Gambhir,"MBBS, MD - Dermatology",Dermatologist,39 Years Experience Overall,"Majitha - Verka Bypass Road, Amritsar",Amritsar,500,,
Dr. Gurinder Singh,"MCh - Plastic Surgery, MBBS",Plastic Surgeon,19 Years Experience Overall  (17 years as specialist),"Batala Road, Bharat Nagar, Landmark: Near Lovely Pool, Amritsar",Amritsar,200,,
Dr. Gagandeep Singh Thind,"MBBS, MS - General Surgery, MCh - Plastic Surgery","Plastic Surgeon, Hair Transplant Surgeon",20 Years Experience Overall  (9 years as specialist),"#54, Green Avenue, Near DC Residence., Amritsar",Amritsar,500,,
Dr. Ameesha Mahajan,"MD - Skin & VD, MBBS",Dermatologist,12 Years Experience Overall  (4 years as specialist),"Adj. Amandeep Hospital G.T. Road, Model Town, Amritsar, Punjab (INDIA), Amritsar",Amritsar,300,,
Dr. Amanpreet Singh,"MBBS, MS - General Surgery, MCh - Plastic Surgery",Plastic Surgeon,13 Years Experience Overall,"Batala Road, Bharat Nagar, Landmark: Near Lovely Pool, Amritsar",Amritsar,300,,
Dr. Bhamre Abhishek Bhimrao,"MBBS, MS - General Surgery, MCh - Plastic Surgery",Plastic Surgeon,18 Years Experience Overall  (9 years as specialist),"Grand Trunk Road, Mohindra Colony, Landmark: Rani Ka Bagh, Amritsar",Amritsar,400,,
Dr. Krishnan S,"MBBS, DNB - General Surgery, DNB - Plastic Surgery",Plastic Surgeon,18 Years Experience Overall  (7 years as specialist),"Grand Trunk Road, Mohindra Colony, Landmark: Rani Ka Bagh, Amritsar",Amritsar,400,,
Dr. Samir Rawal,"MCh - Plastic Surgery, MBBS, MS - General Surgery",Plastic Surgeon,28 Years Experience Overall  (26 years as specialist),"Jain Society,Bahalej Road, Landmark: Opposite Shah Petrol Pump, Anand",Anand,400,,
Dr. Snigdha J,"MBBS, MD - Dermatology",Dermatologist,8 Years Experience Overall  (5 years as specialist),"1-1348, Landmark: Opposite Sakshi Office 80 feet Road & Near Crescent Function Hall, Anantapur",Anantapur,100,,
Dr. Raja Kullayappa,"MBBS, MCh - Plastic Surgery",Plastic Surgeon,14 Years Experience Overall  (11 years as specialist),"1-1348, Landmark: Opposite Sakshi Office 80 feet Road & Near Crescent Function Hall, Anantapur",Anantapur,300,,
Dr. Hithyshi Vankireddi,MD - (Dermatology & STD),Dermatologist,8 Years Experience Overall  (6 years as specialist),"Sangamesh Nagar (Surya Nagar 80 Feet Road- Besides Brihaspathi School), Anantapur",Anantapur,200,,
Dr. Gowri Devi,"MBBS, DDVL, MD - Community Medicine",Dermatologist,27 Years Experience Overall  (17 years as specialist),"Door Number 9-1-33, Railway Station Road., Anantapur",Anantapur,250,,
Dr. Phad Shrikant Anirudha,"MBBS, DNB - Dermatology & Venereology",Dermatologist,6 Years Experience Overall  (1 year as specialist),"2nd Floor Mulay Tapadia Complex, Jalna Road, Landmark: Opp. to Sinchan Bhavan, Aurangabad",Aurangabad,500,,
Dr. Ajeet Singh,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Trichologist, Cosmetologist",21 Years Experience Overall  (18 years as specialist),"Cidco N-3, Plot Number 1, Jalna Road., Landmark: Opposite Rama International & Next To The High Court., Aurangabad",Aurangabad,500,,
Dr. Ujwala Dahiphale,"MCh - Plastic Surgery, MS - General Surgery",Plastic Surgeon,18 Years Experience Overall  (17 years as specialist),"Adalat Road, Near Baba Petrol Pump, Landmark: Opposite To District Court, Aurangabad",Aurangabad,500,,
Dr. Mahendra Sonune,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Dermatosurgeon, Aesthetic Dermatologist",17 Years Experience Overall  (8 years as specialist),"Mayanagar, N2, CIDCO, Landmark: Behind Deepali Hotel, Plot no. 11, Aurangabad",Aurangabad,250,,
Dr. Ramakant H. Bembde,"MBBS, MS - General Surgery, MCh - Plastic Surgery, DNB - Plastic Surgery","Plastic Surgeon, Burn Surgeon, Cosmetologist, Plastic Reconstruction Surgeon",29 Years Experience Overall  (25 years as specialist),"14, Beed Bypass Road, Landmark: Near Renukamata Mandir, Aurangabad",Aurangabad,900,,
Dr. Dipty Agrawal,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Aesthetic Dermatologist, Dermatosurgeon, Pediatric Dermatologist, Hair Transplant Surgeon, Cosmetologist",14 Years Experience Overall  (6 years as specialist),"Shop No 104, Matrix Business Centre, Kalda Corner, Amarpreet Roplekar Road, Aurangabad 431001, Landmark: Near PNG Jwellers, Aurangabad",Aurangabad,400,,
Dr. Ram Mahadev Chilgar,"MBBS, MS - General Surgery, MCh - Plastic Surgery","Plastic Surgeon, General Physician, Hair Transplant Surgeon",17 Years Experience Overall  (12 years as specialist),"Plot Number 5, Gurudwara Kaman, Mitranagar, Limayewa, Landmark: Near Sindhi Colony, Aurangabad",Aurangabad,350,,
Dr. Minhaj Khan,"MBBS, Diploma in Dermatology",Dermatologist,23 Years Experience Overall  (16 years as specialist),"Bari Colony, Aurangabad, Landmark: Near Ram Mandir & Roshan Gate To Cidco Road., Aurangabad",Aurangabad,100,,
Dr. Pankaj Golegaonkar,"MBBS, Diploma in Dermatology, FCPS - Mid. & Gynae",Dermatologist,23 Years Experience Overall  (16 years as specialist),"Shop No.#5, Above SBI ATM, Disha Sankul. Landmark: Near Relience Mall., Aurangabad",Aurangabad,200,,
Dr. Anupam Takalkar,"MBBS, FCPS - Mid. & Gynae, Diploma in Dermatology",Dermatologist,20 Years Experience Overall  (17 years as specialist),"Akaashwani, Jalna Road, Mondha, Landmark: In Front Of Akashwani, Near Bagga International Hotel., Aurangabad",Aurangabad,200,,
Dr. Amruta Deogirikar,"MBBS, MD - Dermatology","Dermatologist, Cosmetologist",11 Years Experience Overall  (7 years as specialist),"#L7, Chetan Plaza, Sawarkar Chowk, Tilak Nager, Landmark: Near Roplekar Hospital, Aurangabad",Aurangabad,250,,
Dr. Uday Kulkarni,"MBBS, MD - Skin & VD",Dermatologist,28 Years Experience Overall  (22 years as specialist),"#5, Tapdia Garden, Nageshwarwadi Road, Nirala Bazar, Landmark: Opposite KFC., Aurangabad",Aurangabad,200,,
Dr. Ashish Sonarikar,"MBBS, MD - Dermatology",Dermatologist,23 Years Experience Overall  (22 years as specialist),"#6, First Floor, Mansarovar, Arcade Santh, New Osmanpura., Landmark: Near Eknath Rangmandir Road., Aurangabad",Aurangabad,300,,
Dr. Anuradha Yadav (Patil),"MBBS, DNB - Plastic Surgery",Plastic Surgeon,21 Years Experience Overall  (13 years as specialist),"Shop No.10,  Disha Square, Sutgirni Chowk., Landmark: Near Deogiri Nagri Co-Op. Bank., Aurangabad",Aurangabad,300,,
Dr. Mohd. Tariq Iqbal,"MBBS, Diploma in Dermatology, Diploma in Dermatology",Dermatologist,30 Years Experience Overall  (24 years as specialist),"#2-2-71, Shahbazar, Landmark: Near Shahganj Water Tank., Aurangabad",Aurangabad,100,,
Dr. Waseemuddin Shaikh,"MD - Dermatology , Venereology & Leprosy, MBBS","Dermatologist, Trichologist, Cosmetologist, Aesthetic Dermatologist",9 Years Experience Overall  (6 years as specialist),"Besides Champa Masjid, Champa Chowk, Landmark: besides champa masjid, Aurangabad",Aurangabad,300,,
Dr. Amit Patil,"MCh - Plastic & Reconstructive Surgery, MBBS","Hair Transplant Surgeon, Plastic Reconstruction Surgeon",18 Years Experience Overall  (7 years as specialist),"MGM College Road, Aurangabad",Aurangabad,300,,
Dr. RAHUL BUVASAHEB BADE,"DNB - Dermatology & Venereology, MBBS",Dermatologist,13 Years Experience Overall  (8 years as specialist),"Shop no.8, Malkhare Classic, Garkheda Parisar, Aurangabad-431009, Aurangabad",Aurangabad,300,,
Dr. Ashish Ramchandra Deshmukh,"MD - Dermatology, DNB - Dermatology & Venereology, MBBS",Dermatologist,18 Years Experience Overall,"Goodwil Commerical Complex, Vasanthi Rao, Nike Square, SIDCO N2, Landmark: Below Hotel Laadli., Aurangabad",Aurangabad,250,,
Dr. Shailesh Manikchand Chandiwal,"DHMS (Diploma in Homeopathic Medicine and Surgery), DVD",Dermatologist,23 Years Experience Overall  (11 years as specialist),"N9K, Pawan Nagar, Jalgaon Road, Landmark: Near Hanuman Mandir, Aurangabad",Aurangabad,300,,
Dr. Saily Gawade,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,9 Years Experience Overall  (2 years as specialist),"MEDICOVER hospital aurangabad, Aurangabad",Aurangabad,500,,
Dr. Gajanan Anand Jadhao,"PG Diploma In Clinical Cosmetology (PGDCC), MBBS, Diploma in Anesthesiology","Hair Transplant Surgeon, Dermatologist, Anesthesiologist",12 Years Experience Overall,"Third Floor, Sudha Gauri Arcade, Rokadiya Hanuman Colony Road, Landmark: Near Cosmos Bank, Aurangabad",Aurangabad,500,,
Dr. Ashish Dhamija,"MD - Dermatology , Venereology & Leprosy, MBBS",Dermatologist,17 Years Experience Overall  (9 years as specialist),"Delhi Rohtak Road, Bahadugarh, Landmark: Near Bal Bharti School, Bahadurgarh",Bahadurgarh,300,,
Dr. Varsha S Patil,"MBBS, DDVL","Dermatologist, Hair Transplant Surgeon, Venereologist, Cosmetologist, Immunodermatologist, Dermatosurgeon, Aesthetic Dermatologist, Pediatric Dermatologist, Trichologist",15 Years Experience Overall  (8 years as specialist),"229, 7th Main Rd, HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India, Landmark: Near Bosch Showroom, Bangalore",Bangalore,700,,
Dr. Ravikant Chauhan,"MBBS, DDVL","Dermatologist, Trichologist, Hair Transplant Surgeon, Venereologist, Cosmetologist, Immunodermatologist, Dermatosurgeon, Aesthetic Dermatologist, Pediatric Dermatologist",15 Years Experience Overall  (8 years as specialist),"229, 7th Main Rd, HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India, Landmark: Near Bosch Showroom, Bangalore",Bangalore,700,,
Dr. Deepak M.R,"MBBS, MCh - Plastic Surgery","Plastic Surgeon, Cosmetologist, Hair Transplant Surgeon",18 Years Experience Overall  (5 years as specialist),"Number 1 , 110/4, Rebus Realam ,Neeladri Main Road, Doddathoguru, Bangalore",Bangalore,700,,
Dr. Naveen Kumar,"MBBS, MS - General Surgery, MCh - Plastic & Reconstructive Surgery","Hair Transplant Surgeon, Plastic Reconstruction Surgeon, Plastic Surgeon, Cosmetologist",20 Years Experience Overall  (10 years as specialist),"67, Uttarahalli Road, Landmark: Near Abhiman Studio & SGBIT Engineering College Campus 1st Building, Bangalore",Bangalore,700,,
Dr. Vijaya Raghava Reddy,"MBBS, MS - General Surgery, MCh - Plastic Surgery",Plastic Surgeon,22 Years Experience Overall  (11 years as specialist),"Number 110, Akshaya Residency, Bangalore",Bangalore,800,,
Dr. Kiran Petkar,"MBBS, MS - General Surgery, MCh - Plastic & Reconstructive Surgery, DNB - Plastic Surgery","Plastic Surgeon, Cosmetologist",22 Years Experience Overall  (12 years as specialist),"Survey Number 91/1 A&B, HP Avenue, Konappana Agrahara, Bangalore",Bangalore,900,,
Dr. Deepu NK,"MBBS, MS - General Surgery, MCh - Plastic Surgery",Plastic Surgeon,16 Years Experience Overall,"45, Off Richmond Road, Landmark: Near Garuda Mall, Bangalore",Bangalore,625,,
Dr. Kavya K,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,12 Years Experience Overall  (7 years as specialist),"8C , Pillappa Forms, Kalkere Agara Main Road., Landmark: Near National Public School, Bangalore",Bangalore,400,,
Dr. Janet Alexander Castelino,"MBBS, MD - Dermatology","Dermatologist, Cosmetologist",31 Years Experience Overall  (9 years as specialist),"422, 1st Floor, Vibhu Complex, 27th Main Road, Sector 1, Landmark: Near ICICI Bank, Bangalore",Bangalore,2000,,
Dr. Juvita Rasquinha,"MBBS, DDVL","Dermatologist, Cosmetologist, Pediatric Dermatologist, Trichologist",19 Years Experience Overall  (15 years as specialist),"730/3, 1st  Floor, CMH Road, 1st Stage, Landmark: Near CMH Hospital, Bangalore",Bangalore,500,,
Dr. Akshitha Ratnakara Shetty,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Hair Transplant Surgeon, Aesthetic Dermatologist, Trichologist, Cosmetologist",15 Years Experience Overall  (10 years as specialist),"1st Floor, Bearing Number 496, 1st Stage Extention, CMH Road, Landmark: Salarpuria House, Bangalore",Bangalore,700,,
